iddesa,idkec,idkab
3273010001,3273010,3273
3273010002,3273010,3273
3273010003,3273010,3273
3273010004,3273010,3273
3273010005,3273010,3273
3273010006,3273010,3273
3273010007,3273010,3273
3273010008,3273010,3273
3273020001,3273020,3273
3273020002,3273020,3273
3273020003,3273020,3273
3273020004,3273020,3273
3273020005,3273020,3273
3273020006,3273020,3273
3273030001,3273030,3273
3273030002,3273030,3273
3273030003,3273030,3273
3273030004,3273030,3273
3273030005,3273030,3273
3273040001,3273040,3273
3273040002,3273040,3273
3273040003,3273040,3273
3273040004,3273040,3273
3273040005,3273040,3273
3273040006,3273040,3273
3273050001,3273050,3273
3273050002,3273050,3273
3273050003,3273050,3273
3273050004,3273050,3273
3273050005,3273050,3273
3273050006,3273050,3273
3273060001,3273060,3273
3273060002,3273060,3273
3273060003,3273060,3273
3273060004,3273060,3273
3273060005,3273060,3273
3273060006,3273060,3273
3273060007,3273060,3273
3273070001,3273070,3273
3273070002,3273070,3273
3273070003,3273070,3273
3273070004,3273070,3273
3273070005,3273070,3273
3273070006,3273070,3273
3273070007,3273070,3273
3273080001,3273080,3273
3273080002,3273080,3273
3273080003,3273080,3273
3273080004,3273080,3273
3273090001,3273090,3273
3273090002,3273090,3273
3273090003,3273090,3273
3273090004,3273090,3273
3273100001,3273100,3273
3273100002,3273100,3273
3273100005,3273100,3273
3273100006,3273100,3273
3273101001,3273101,3273
3273101002,3273101,3273
3273101003,3273101,3273
3273101004,3273101,3273
3273110003,3273110,3273
3273110004,3273110,3273
3273110005,3273110,3273
3273110006,3273110,3273
3273111001,3273111,3273
3273111002,3273111,3273
3273111003,3273111,3273
3273111004,3273111,3273
3273120003,3273120,3273
3273120004,3273120,3273
3273120005,3273120,3273
3273120006,3273120,3273
3273120007,3273120,3273
3273121001,3273121,3273
3273121002,3273121,3273
3273121003,3273121,3273
3273121004,3273121,3273
3273130001,3273130,3273
3273130002,3273130,3273
3273130003,3273130,3273
3273130005,3273130,3273
3273141001,3273141,3273
3273141002,3273141,3273
3273141003,3273141,3273
3273141004,3273141,3273
3273142001,3273142,3273
3273142002,3273142,3273
3273142003,3273142,3273
3273142004,3273142,3273
3273150001,3273150,3273
3273150002,3273150,3273
3273150003,3273150,3273
3273150004,3273150,3273
3273150005,3273150,3273
3273150006,3273150,3273
3273160001,3273160,3273
3273160002,3273160,3273
3273160003,3273160,3273
3273160004,3273160,3273
3273160005,3273160,3273
3273160006,3273160,3273
3273160007,3273160,3273
3273160008,3273160,3273
3273170001,3273170,3273
3273170002,3273170,3273
3273170003,3273170,3273
3273170004,3273170,3273
3273180001,3273180,3273
3273180002,3273180,3273
3273180003,3273180,3273
3273180004,3273180,3273
3273180005,3273180,3273
3273180006,3273180,3273
3273190001,3273190,3273
3273190002,3273190,3273
3273190003,3273190,3273
3273190004,3273190,3273
3273190005,3273190,3273
3273190006,3273190,3273
3273200001,3273200,3273
3273200002,3273200,3273
3273200003,3273200,3273
3273210001,3273210,3273
3273210002,3273210,3273
3273210003,3273210,3273
3273210004,3273210,3273
3273210005,3273210,3273
3273210006,3273210,3273
3273220001,3273220,3273
3273220002,3273220,3273
3273220003,3273220,3273
3273220004,3273220,3273
3273230001,3273230,3273
3273230002,3273230,3273
3273230003,3273230,3273
3273230004,3273230,3273
3273230005,3273230,3273
3273230006,3273230,3273
3273240001,3273240,3273
3273240002,3273240,3273
3273240003,3273240,3273
3273240004,3273240,3273
3273240005,3273240,3273
3273250001,3273250,3273
3273250002,3273250,3273
3273250003,3273250,3273
3273250004,3273250,3273
3273260001,3273260,3273
3273260002,3273260,3273
3273260003,3273260,3273
