kdkab,nmkab,kdkec,nmkec,kddesa,iddesa,nmdesa,klas,status_desa,stat_pem,latitude,longitude,jml_sls,jml_nonsls,jml_bs
73,KOTA BANDUNG,010,BANDUNG KULON,001,3273010001,GEMPOL SARI,1,DEFINITIF,KELURAHAN,-6.929,107.559,70,0,54
73,KOTA BANDUNG,010,BANDUNG KULON,002,3273010002,CIGONDEWAH KALER,1,DEFINITIF,KELURAHAN,-6.934,107.564,48,0,56
73,KOTA BANDUNG,010,BANDUNG KULON,003,3273010003,CIGONDEWAH KIDUL,1,DEFINITIF,KELURAHAN,-6.944,107.56,36,0,22
73,KOTA BANDUNG,010,BANDUNG KULON,004,3273010004,CIGONDEWAH RAHAYU,1,DEFINITIF,KELURAHAN,-6.95,107.563,45,0,32
73,KOTA BANDUNG,010,BANDUNG KULON,005,3273010005,CARINGIN,1,DEFINITIF,KELURAHAN,-6.927,107.566,35,0,20
73,KOTA BANDUNG,010,BANDUNG KULON,006,3273010006,WARUNG MUNCANG,1,DEFINITIF,KELURAHAN,-6.925,107.577,74,0,46
73,KOTA BANDUNG,010,BANDUNG KULON,007,3273010007,CIBUNTU,1,DEFINITIF,KELURAHAN,-6.918,107.573,73,0,47
73,KOTA BANDUNG,010,BANDUNG KULON,008,3273010008,CIJERAH,1,DEFINITIF,KELURAHAN,-6.92,107.57,73,0,63
73,KOTA BANDUNG,020,BABAKAN CIPARAY,001,3273020001,MARGASUKA,1,DEFINITIF,KELURAHAN,-6.953,107.568,43,0,32
73,KOTA BANDUNG,020,BABAKAN CIPARAY,002,3273020002,CIRANGRANG,1,DEFINITIF,KELURAHAN,-6.959,107.585,32,0,30
73,KOTA BANDUNG,020,BABAKAN CIPARAY,003,3273020003,MARGAHAYU UTARA,1,DEFINITIF,KELURAHAN,-6.953,107.581,56,0,66
73,KOTA BANDUNG,020,BABAKAN CIPARAY,004,3273020004,BABAKAN CIPARAY,1,DEFINITIF,KELURAHAN,-6.943,107.577,61,1,73
73,KOTA BANDUNG,020,BABAKAN CIPARAY,005,3273020005,BABAKAN,1,DEFINITIF,KELURAHAN,-6.928,107.579,88,0,72
73,KOTA BANDUNG,020,BABAKAN CIPARAY,006,3273020006,SUKAHAJI,1,DEFINITIF,KELURAHAN,-6.934,107.582,89,0,68
73,KOTA BANDUNG,030,BOJONGLOA KALER,001,3273030001,KOPO,1,DEFINITIF,KELURAHAN,-6.938,107.585,86,0,65
73,KOTA BANDUNG,030,BOJONGLOA KALER,002,3273030002,SUKA ASIH,1,DEFINITIF,KELURAHAN,-6.935,107.589,75,0,42
73,KOTA BANDUNG,030,BOJONGLOA KALER,003,3273030003,BABAKAN ASIH,1,DEFINITIF,KELURAHAN,-6.935,107.594,59,0,36
73,KOTA BANDUNG,030,BOJONGLOA KALER,004,3273030004,BABAKAN TAROGONG,1,DEFINITIF,KELURAHAN,-6.93,107.589,70,0,52
73,KOTA BANDUNG,030,BOJONGLOA KALER,005,3273030005,JAMIKA,1,DEFINITIF,KELURAHAN,-6.923,107.587,105,0,54
